,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1137,Dwayne Bravo,16,16,53.3,533,14,Feb-16,38.07,9.96,22.92,0,0
1138,Andre Russell,16,15,37.5,355,13,Mar-31,27.3,9.38,17.46,0,0
1139,Krunal Pandya,14,13,40.1,284,12,Mar-28,23.66,7.07,20.08,0,0
1140,Amit Mishra,10,10,37,264,12,Mar-19,22,7.13,18.5,0,0
1141,Yuzvendra Chahal,14,14,50,363,12,Feb-22,30.25,7.26,25,0,0
1142,Sandeep Sharma,12,12,44,333,12,Feb-17,27.75,7.56,22,0,0
1143,Lungi Ngidi,7,7,26,156,11,04-Oct,14.18,6,14.18,1,0
1144,Ravindra Jadeja,16,14,41,303,11,Mar-18,27.54,7.39,22.36,0,0
1145,Shreyas Gopal,11,10,31,236,11,Apr-16,21.45,7.61,16.9,1,0
1146,Krishnappa Gowtham,15,15,40,312,11,02-Dec,28.36,7.8,21.81,0,0
1147,Ankit Rajpoot,8,8,26.1,223,11,May-14,20.27,8.52,14.27,0,1
1148,Mohammed Siraj,11,11,41,367,11,Mar-25,33.36,8.95,22.36,0,0
1149,Jaydev Unadkat,15,15,50.2,486,11,Mar-46,44.18,9.65,27.45,0,0
1150,Deepak Chahar,12,12,38.1,278,10,Mar-15,27.8,7.28,22.9,0,0
1151,Ravichandran Ashwin,14,14,50.4,410,10,Feb-18,41,8.09,30.4,0,0
1152,Prasidh Krishna,7,7,28,260,10,Apr-30,26,9.28,16.8,1,0
1153,Bhuvneshwar Kumar,12,12,46.1,354,9,Mar-26,39.33,7.66,30.77,0,0
1154,Ben Laughlin,7,7,21,211,9,Feb-15,23.44,10.04,14,0,0
1155,Ben Stokes,13,12,37,303,8,Mar-15,37.87,8.18,27.75,0,0
1156,Chris Woakes,5,5,18.2,190,8,Mar-36,23.75,10.36,13.75,0,0
1157,Mustafizur Rahman,7,7,27.3,230,7,Mar-24,32.85,8.36,23.57,0,0
